SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
DerekTest2,20,M,1,urn,1,1,orange,blue,blue,orange,0,blue,0.22,NA,NA,1.980774164199829
DerekTest2,20,M,1,urn,1,2,orange,blue,blue,orange,0,blue,0.46,NA,NA,1.5411460399627686
DerekTest2,20,M,1,urn,1,3,orange,orange,blue,orange,0,blue,0.46,NA,NA,1.5254769325256348
DerekTest2,20,M,1,urn,1,4,orange,blue,blue,orange,0,blue,0.73,NA,NA,2.0165510177612305
DerekTest2,20,M,1,urn,1,4,orange,NA,blue,orange,0,blue,0.73,0,-7.3,NA
DerekTest2,20,M,1,urn,2,1,orange,orange,orange,blue,0,orange,0.23,NA,NA,2.08263897895813
DerekTest2,20,M,1,urn,2,1,orange,NA,orange,blue,0,orange,0.23,1,6.404095276507151,NA
DerekTest2,20,M,1,urn,3,1,orange,orange,orange,blue,0,orange,0.26,NA,NA,1.8615531921386719
DerekTest2,20,M,1,urn,3,1,orange,NA,orange,blue,0,orange,0.26,1,6.714918495575536,NA
DerekTest2,20,M,1,urn,4,1,blue,orange,orange,blue,0,orange,0.27,NA,NA,1.630108118057251
DerekTest2,20,M,1,urn,4,2,blue,blue,orange,blue,0,orange,0.14,NA,NA,2.465413808822632
DerekTest2,20,M,1,urn,4,2,blue,NA,orange,blue,0,orange,0.14,0,-1.4000000000000001,NA
DerekTest2,20,M,1,urn,5,1,blue,orange,blue,orange,1,orange,0.21,NA,NA,1.8750848770141602
DerekTest2,20,M,1,urn,5,1,blue,NA,blue,orange,1,orange,0.21,0,-2.1,NA
DerekTest2,20,M,1,urn,6,1,blue,blue,orange,blue,1,blue,0.18,NA,NA,1.9471261501312256
DerekTest2,20,M,1,urn,6,2,blue,blue,orange,blue,1,blue,0.3,NA,NA,1.3232641220092773
DerekTest2,20,M,1,urn,6,3,blue,blue,orange,blue,1,blue,0.64,NA,NA,1.689655065536499
DerekTest2,20,M,1,urn,6,4,blue,blue,orange,blue,1,blue,0.64,NA,NA,1.3578131198883057
DerekTest2,20,M,1,urn,6,5,blue,blue,orange,blue,1,blue,1,NA,NA,1.5474872589111328
DerekTest2,20,M,1,urn,6,5,blue,NA,orange,blue,1,blue,1,1,10.133432356858238,NA
DerekTest2,20,M,1,urn,7,1,blue,orange,blue,orange,1,orange,0.18,NA,NA,2.030916929244995
DerekTest2,20,M,1,urn,7,2,blue,blue,blue,orange,1,orange,0.09,NA,NA,1.73055100440979
DerekTest2,20,M,1,urn,7,3,blue,blue,blue,orange,0,blue,0.18,NA,NA,1.996143102645874
DerekTest2,20,M,1,urn,7,3,blue,NA,blue,orange,0,blue,0.18,1,5.782657197916858,NA
DerekTest2,20,M,1,urn,8,1,blue,blue,orange,blue,1,blue,0.15,NA,NA,2.3284170627593994
DerekTest2,20,M,1,urn,8,2,blue,blue,orange,blue,1,blue,0.34,NA,NA,1.4642486572265625
DerekTest2,20,M,1,urn,8,2,blue,NA,orange,blue,1,blue,0.34,1,7.395025319414323,NA
DerekTest2,20,M,1,urn,9,1,blue,blue,orange,blue,1,blue,0.19,NA,NA,2.1792728900909424
DerekTest2,20,M,1,urn,9,1,blue,NA,orange,blue,1,blue,0.19,1,5.9197292164113655,NA
DerekTest2,20,M,1,urn,10,1,orange,orange,orange,blue,0,orange,0.24,NA,NA,1.5456008911132812
DerekTest2,20,M,1,urn,10,2,orange,orange,orange,blue,0,orange,0.48,NA,NA,1.4565958976745605
DerekTest2,20,M,1,urn,10,3,orange,blue,orange,blue,0,orange,0.48,NA,NA,1.7562930583953857
DerekTest2,20,M,1,urn,10,3,orange,NA,orange,blue,0,orange,0.48,1,8.269270017109209,NA
DerekTest2,20,M,1,urn,11,1,orange,orange,orange,blue,0,orange,0.2,NA,NA,1.7951858043670654
DerekTest2,20,M,1,urn,11,2,orange,orange,orange,blue,0,orange,0.58,NA,NA,1.5635478496551514
DerekTest2,20,M,1,urn,11,3,orange,orange,orange,blue,0,orange,1,NA,NA,1.865105152130127
DerekTest2,20,M,1,urn,11,4,orange,orange,orange,blue,0,orange,1,NA,NA,1.4646153450012207
DerekTest2,20,M,1,urn,11,5,orange,orange,orange,blue,0,orange,1,NA,NA,1.0660030841827393
DerekTest2,20,M,1,urn,11,5,orange,NA,orange,blue,0,orange,1,1,10.133432356858238,NA
DerekTest2,20,M,1,urn,12,1,blue,blue,orange,blue,1,blue,0.1,NA,NA,2.229840040206909
DerekTest2,20,M,1,urn,12,2,blue,blue,orange,blue,1,blue,0.25,NA,NA,3.3325579166412354
DerekTest2,20,M,1,urn,12,2,blue,NA,orange,blue,1,blue,0.25,1,6.615485563895175,NA
DerekTest2,20,M,1,urn,13,1,blue,blue,orange,blue,1,blue,0.29,NA,NA,2.3302290439605713
DerekTest2,20,M,1,urn,13,2,blue,orange,orange,blue,None,None,0,NA,NA,3.582038164138794
DerekTest2,20,M,1,urn,13,3,blue,blue,orange,blue,1,blue,0.16,NA,NA,2.2093958854675293
DerekTest2,20,M,1,urn,13,4,blue,orange,orange,blue,1,blue,0.06,NA,NA,2.726148843765259
DerekTest2,20,M,1,urn,13,4,blue,NA,orange,blue,1,blue,0.06,1,2.997439085859072,NA
DerekTest2,20,M,1,urn,14,1,blue,blue,orange,blue,1,blue,0.12,NA,NA,1.8982272148132324
DerekTest2,20,M,1,urn,14,2,blue,blue,orange,blue,1,blue,0.37,NA,NA,2.130139112472534
DerekTest2,20,M,1,urn,14,3,blue,blue,orange,blue,1,blue,0.72,NA,NA,1.7648630142211914
DerekTest2,20,M,1,urn,14,4,blue,blue,orange,blue,1,blue,1,NA,NA,2.0326390266418457
DerekTest2,20,M,1,urn,14,5,blue,orange,orange,blue,1,blue,1,NA,NA,1.0970370769500732
DerekTest2,20,M,1,urn,14,5,blue,NA,orange,blue,1,blue,1,1,10.133432356858238,NA
DerekTest2,20,M,1,urn,15,1,blue,blue,blue,orange,0,blue,0.15,NA,NA,2.3474159240722656
DerekTest2,20,M,1,urn,15,2,blue,orange,blue,orange,0,blue,0.15,NA,NA,1.8632161617279053
DerekTest2,20,M,1,urn,15,2,blue,NA,blue,orange,0,blue,0.15,1,5.320432892364327,NA
DerekTest2,20,M,1,urn,16,1,blue,blue,blue,orange,0,blue,0.17,NA,NA,1.6781048774719238
DerekTest2,20,M,1,urn,16,1,blue,NA,blue,orange,0,blue,0.17,1,5.637748342330944,NA
DerekTest2,20,M,1,urn,17,1,blue,blue,blue,orange,0,blue,0.2,NA,NA,1.5479340553283691
DerekTest2,20,M,1,urn,17,2,blue,blue,blue,orange,0,blue,0.2,NA,NA,1.72426176071167
DerekTest2,20,M,1,urn,17,2,blue,NA,blue,orange,0,blue,0.2,1,6.0497687344733,NA
DerekTest2,20,M,1,urn,18,1,blue,blue,blue,orange,0,blue,0.34,NA,NA,1.424772024154663
DerekTest2,20,M,1,urn,18,2,blue,blue,blue,orange,0,blue,0.62,NA,NA,1.314465045928955
DerekTest2,20,M,1,urn,18,3,blue,blue,blue,orange,0,blue,0.88,NA,NA,1.4322857856750488
DerekTest2,20,M,1,urn,18,4,blue,orange,blue,orange,0,blue,1,NA,NA,1.4319820404052734
DerekTest2,20,M,1,urn,18,5,blue,blue,blue,orange,0,blue,1,NA,NA,1.967453956604004
DerekTest2,20,M,1,urn,18,5,blue,NA,blue,orange,0,blue,1,1,10.133432356858238,NA
DerekTest2,20,M,1,urn,19,1,blue,blue,blue,orange,0,blue,0.22,NA,NA,1.5968990325927734
DerekTest2,20,M,1,urn,19,2,blue,blue,blue,orange,0,blue,0.36,NA,NA,1.3986763954162598
DerekTest2,20,M,1,urn,19,3,blue,blue,blue,orange,0,blue,0.69,NA,NA,1.398587942123413
DerekTest2,20,M,1,urn,19,4,blue,blue,blue,orange,0,blue,1,NA,NA,2.5329768657684326
DerekTest2,20,M,1,urn,19,5,blue,blue,blue,orange,0,blue,1,NA,NA,1.932054042816162
DerekTest2,20,M,1,urn,19,5,blue,NA,blue,orange,0,blue,1,1,10.133432356858238,NA
DerekTest2,20,M,1,urn,20,1,orange,orange,blue,orange,1,orange,0.22,NA,NA,2.157557964324951
