SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
DerekTest,20,M,1,urn,1,1,blue,blue,orange,blue,1,blue,0.21,NA,NA,3.468235731124878
DerekTest,20,M,1,urn,1,1,blue,NA,orange,blue,1,blue,0.21,1,6.173462279809225,NA
DerekTest,20,M,1,urn,2,1,orange,orange,orange,blue,0,orange,0.19,NA,NA,2.268174886703491
DerekTest,20,M,1,urn,2,2,orange,orange,orange,blue,0,orange,0.5,NA,NA,1.568237066268921
DerekTest,20,M,1,urn,2,3,orange,orange,orange,blue,0,orange,0.89,NA,NA,2.1005141735076904
DerekTest,20,M,1,urn,2,3,orange,NA,orange,blue,0,orange,0.89,1,9.834601264684316,NA
DerekTest,20,M,1,urn,3,1,orange,orange,orange,blue,0,orange,0.29,NA,NA,2.0345921516418457
DerekTest,20,M,1,urn,3,2,orange,orange,orange,blue,0,orange,0.43,NA,NA,1.7007102966308594
DerekTest,20,M,1,urn,3,3,orange,orange,orange,blue,0,orange,0.86,NA,NA,1.7679328918457031
DerekTest,20,M,1,urn,3,4,orange,blue,orange,blue,0,orange,1,NA,NA,2.2998251914978027
DerekTest,20,M,1,urn,3,4,orange,NA,orange,blue,0,orange,1,1,10.133432356858238,NA
DerekTest,20,M,1,urn,4,1,orange,orange,blue,orange,1,orange,0.15,NA,NA,2.2513716220855713
DerekTest,20,M,1,urn,4,2,orange,orange,blue,orange,1,orange,0.53,NA,NA,1.7651581764221191
DerekTest,20,M,1,urn,4,3,orange,blue,blue,orange,1,orange,0.53,NA,NA,2.3353967666625977
DerekTest,20,M,1,urn,4,4,orange,blue,blue,orange,1,orange,0.53,NA,NA,3.1670517921447754
DerekTest,20,M,1,urn,4,4,orange,NA,blue,orange,1,orange,0.53,1,8.520486738086781,NA
DerekTest,20,M,1,urn,5,1,orange,blue,blue,orange,0,blue,0.24,NA,NA,2.000368118286133
DerekTest,20,M,1,urn,5,2,orange,blue,blue,orange,0,blue,0.48,NA,NA,1.7308039665222168
DerekTest,20,M,1,urn,5,3,orange,orange,blue,orange,0,blue,0.47,NA,NA,3.0682501792907715
DerekTest,20,M,1,urn,5,4,orange,blue,blue,orange,0,blue,1,NA,NA,2.3365888595581055
DerekTest,20,M,1,urn,5,5,orange,orange,blue,orange,0,blue,1,NA,NA,2.5023839473724365
DerekTest,20,M,1,urn,5,5,orange,NA,blue,orange,0,blue,1,0,-10.133432356858238,NA
DerekTest,20,M,1,urn,6,1,blue,blue,blue,orange,0,blue,0.29,NA,NA,2.06561279296875
DerekTest,20,M,1,urn,6,2,blue,blue,blue,orange,0,blue,0.51,NA,NA,1.3998491764068604
DerekTest,20,M,1,urn,6,3,blue,blue,blue,orange,0,blue,0.75,NA,NA,1.4691798686981201
DerekTest,20,M,1,urn,6,4,blue,orange,blue,orange,0,blue,0.75,NA,NA,3.3688998222351074
DerekTest,20,M,1,urn,6,5,blue,orange,blue,orange,0,blue,0.75,NA,NA,2.601191997528076
DerekTest,20,M,1,urn,6,5,blue,NA,blue,orange,0,blue,0.75,1,9.400703675952961,NA
DerekTest,20,M,1,urn,7,1,orange,orange,blue,orange,1,orange,0.22,NA,NA,1.9010696411132812
