SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
Dominique ,21,F,2,hazard,1,1,high,blue,low,high,None,None,0,NA,NA,4.1620941162109375
Dominique ,21,F,2,hazard,1,2,high,blue,low,high,0,low,0.23,NA,NA,2.6958229541778564
Dominique ,21,F,2,hazard,1,3,high,orange,low,high,0,low,0.77,NA,NA,4.696922063827515
Dominique ,21,F,2,hazard,1,4,high,blue,low,high,0,low,0.78,NA,NA,6.630431890487671
Dominique ,21,F,2,hazard,1,5,high,orange,low,high,1,high,0.84,NA,NA,4.056158065795898
Dominique ,21,F,2,hazard,1,5,high,NA,low,high,1,high,0.84,1,10.0,NA
Dominique ,21,F,2,hazard,2,1,high,orange,high,low,None,None,0,NA,NA,3.091140031814575
Dominique ,21,F,2,hazard,2,1,high,NA,high,low,None,None,0,0,0,NA
Dominique ,21,F,2,hazard,3,1,high,orange,low,high,None,None,0,NA,NA,4.898761034011841
Dominique ,21,F,2,hazard,3,2,high,blue,low,high,1,high,0.87,NA,NA,3.3652429580688477
Dominique ,21,F,2,hazard,3,3,high,orange,low,high,1,high,0.88,NA,NA,2.9615108966827393
Dominique ,21,F,2,hazard,3,4,high,blue,low,high,1,high,0.88,NA,NA,1.861555814743042
Dominique ,21,F,2,hazard,3,5,high,orange,low,high,1,high,0.89,NA,NA,2.863555669784546
Dominique ,21,F,2,hazard,3,5,high,NA,low,high,1,high,0.89,1,10.0,NA
Dominique ,21,F,2,hazard,4,1,low,orange,low,high,None,None,0,NA,NA,2.2603917121887207
Dominique ,21,F,2,hazard,4,2,low,orange,low,high,0,low,1,NA,NA,2.326207160949707
Dominique ,21,F,2,hazard,4,3,low,orange,low,high,0,low,1.0,NA,NA,2.0458970069885254
Dominique ,21,F,2,hazard,4,3,low,NA,low,high,0,low,1.0,1,10,NA
Dominique ,21,F,2,hazard,5,1,high,orange,low,high,None,None,0,NA,NA,3.3962559700012207
Dominique ,21,F,2,hazard,5,2,high,blue,low,high,1,high,1,NA,NA,1.4963140487670898
Dominique ,21,F,2,hazard,5,3,high,orange,low,high,1,high,1,NA,NA,1.128568172454834
Dominique ,21,F,2,hazard,5,4,high,orange,low,high,0,low,1,NA,NA,3.5651330947875977
Dominique ,21,F,2,hazard,5,4,high,NA,low,high,0,low,1,0,-10,NA
Dominique ,21,F,2,hazard,6,1,low,blue,high,low,None,None,0,NA,NA,2.895543098449707
Dominique ,21,F,2,hazard,6,2,low,orange,high,low,0,high,1,NA,NA,1.6280481815338135
Dominique ,21,F,2,hazard,6,3,low,orange,high,low,1,low,0.62,NA,NA,5.431583881378174
Dominique ,21,F,2,hazard,6,4,low,orange,high,low,1,low,0.83,NA,NA,2.329719066619873
Dominique ,21,F,2,hazard,6,4,low,NA,high,low,1,low,0.83,1,10.0,NA
Dominique ,21,F,2,hazard,7,1,high,orange,high,low,None,None,0,NA,NA,4.2624781131744385
Dominique ,21,F,2,hazard,7,2,high,orange,high,low,1,low,0.64,NA,NA,3.7140562534332275
Dominique ,21,F,2,hazard,7,3,high,orange,high,low,1,low,1.0,NA,NA,1.8121201992034912
Dominique ,21,F,2,hazard,7,4,high,blue,high,low,1,low,1,NA,NA,1.7797799110412598
Dominique ,21,F,2,hazard,7,5,high,blue,high,low,1,low,1.0,NA,NA,7.40406608581543
Dominique ,21,F,2,hazard,7,5,high,NA,high,low,1,low,1.0,0,-10.0,NA
Dominique ,21,F,2,hazard,8,1,high,orange,low,high,None,None,0,NA,NA,4.045297861099243
Dominique ,21,F,2,hazard,8,2,high,blue,low,high,1,high,0.71,NA,NA,2.3957700729370117
Dominique ,21,F,2,hazard,8,3,high,orange,low,high,1,high,0.93,NA,NA,2.160869836807251
Dominique ,21,F,2,hazard,8,4,high,orange,low,high,0,low,0.58,NA,NA,6.997551918029785
Dominique ,21,F,2,hazard,8,5,high,blue,low,high,0,low,0.6,NA,NA,4.139235019683838
Dominique ,21,F,2,hazard,8,5,high,NA,low,high,0,low,0.6,0,-6.0,NA
Dominique ,21,F,2,hazard,9,1,low,blue,high,low,None,None,0,NA,NA,1.1953532695770264
