SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
PILOT_002,27,F,2,hazard,1,1,high,orange,high,low,None,None,0,NA,NA,1.281214952468872
PILOT_002,27,F,2,hazard,1,2,high,blue,high,low,0,high,0.59,NA,NA,19.483744144439697
PILOT_002,27,F,2,hazard,1,2,high,NA,high,low,0,high,0.59,1,8.792377191761036,NA
PILOT_002,27,F,2,hazard,2,1,high,blue,low,high,None,None,0,NA,NA,1.7146480083465576
PILOT_002,27,F,2,hazard,2,2,high,blue,low,high,0,low,0.88,NA,NA,4.268986225128174
PILOT_002,27,F,2,hazard,2,3,high,orange,low,high,0,low,0.25,NA,NA,4.502793312072754
PILOT_002,27,F,2,hazard,2,3,high,NA,low,high,0,low,0.25,0,-6.615485563895175,NA
PILOT_002,27,F,2,hazard,3,1,low,orange,low,high,None,None,0,NA,NA,1.1653921604156494
PILOT_002,27,F,2,hazard,3,2,low,blue,low,high,1,high,0.21,NA,NA,4.768483877182007
PILOT_002,27,F,2,hazard,3,3,low,blue,low,high,0,low,0.2,NA,NA,6.203005313873291
PILOT_002,27,F,2,hazard,3,3,low,NA,low,high,0,low,0.2,1,6.0497687344733,NA
PILOT_002,27,F,2,hazard,4,1,high,orange,high,low,None,None,0,NA,NA,1.2817139625549316
PILOT_002,27,F,2,hazard,4,1,high,NA,high,low,None,None,0,0,0,NA
PILOT_002,27,F,2,hazard,5,1,high,blue,high,low,None,None,0,NA,NA,1.0311832427978516
PILOT_002,27,F,2,hazard,5,1,high,NA,high,low,None,None,0,0,0,NA
PILOT_002,27,F,2,hazard,6,1,high,blue,low,high,None,None,0,NA,NA,2.4165050983428955
PILOT_002,27,F,2,hazard,6,2,high,orange,low,high,1,high,0.2,NA,NA,3.43621826171875
PILOT_002,27,F,2,hazard,6,2,high,NA,low,high,1,high,0.2,1,6.0497687344733,NA
PILOT_002,27,F,2,hazard,7,1,high,orange,high,low,None,None,0,NA,NA,0.9805908203125
PILOT_002,27,F,2,hazard,7,2,high,orange,high,low,1,low,0.22,NA,NA,3.0369479656219482
PILOT_002,27,F,2,hazard,7,3,high,blue,high,low,1,low,0.17,NA,NA,3.668480157852173
PILOT_002,27,F,2,hazard,7,4,high,orange,high,low,0,high,0.33,NA,NA,4.300971984863281
PILOT_002,27,F,2,hazard,7,4,high,NA,high,low,0,high,0.33,1,7.319341646001304,NA
PILOT_002,27,F,2,hazard,8,1,low,orange,high,low,None,None,0,NA,NA,2.032320022583008
PILOT_002,27,F,2,hazard,8,2,low,orange,high,low,1,low,0.22,NA,NA,3.1016640663146973
PILOT_002,27,F,2,hazard,8,3,low,orange,high,low,1,low,0.58,NA,NA,1.6650757789611816
PILOT_002,27,F,2,hazard,8,4,low,orange,high,low,1,low,1,NA,NA,1.4687559604644775
PILOT_002,27,F,2,hazard,8,4,low,NA,high,low,1,low,1,1,10.133432356858238,NA
PILOT_002,27,F,2,hazard,9,1,high,blue,low,high,None,None,0,NA,NA,1.5492961406707764
PILOT_002,27,F,2,hazard,9,2,high,orange,low,high,1,high,0.19,NA,NA,2.569627285003662
PILOT_002,27,F,2,hazard,9,3,high,blue,low,high,1,high,0.69,NA,NA,1.8013529777526855
PILOT_002,27,F,2,hazard,9,4,high,orange,low,high,1,high,1,NA,NA,1.2005503177642822
PILOT_002,27,F,2,hazard,9,5,high,orange,low,high,1,high,1,NA,NA,1.2675509452819824
PILOT_002,27,F,2,hazard,9,5,high,NA,low,high,1,high,1,1,10.133432356858238,NA
PILOT_002,27,F,2,hazard,10,1,high,orange,low,high,None,None,0,NA,NA,1.435075044631958
PILOT_002,27,F,2,hazard,10,2,high,blue,low,high,1,high,0.17,NA,NA,2.701249837875366
PILOT_002,27,F,2,hazard,10,3,high,orange,low,high,1,high,0.87,NA,NA,1.8721280097961426
PILOT_002,27,F,2,hazard,10,4,high,blue,low,high,1,high,1,NA,NA,1.9340417385101318
PILOT_002,27,F,2,hazard,10,5,high,orange,low,high,1,high,1,NA,NA,0.7678811550140381
PILOT_002,27,F,2,hazard,10,5,high,NA,low,high,1,high,1,1,10.133432356858238,NA
PILOT_002,27,F,2,urn,1,1,orange,orange,orange,blue,0,orange,0.24,NA,NA,2.8693008422851562
PILOT_002,27,F,2,urn,1,2,orange,orange,orange,blue,0,orange,0.75,NA,NA,1.7670228481292725
PILOT_002,27,F,2,urn,1,2,orange,NA,orange,blue,0,orange,0.75,1,9.400703675952961,NA
PILOT_002,27,F,2,urn,2,1,orange,orange,blue,orange,1,orange,0.25,NA,NA,2.1152169704437256
PILOT_002,27,F,2,urn,2,2,orange,orange,blue,orange,1,orange,1,NA,NA,1.532776117324829
PILOT_002,27,F,2,urn,2,3,orange,orange,blue,orange,1,orange,1,NA,NA,1.2687878608703613
PILOT_002,27,F,2,urn,2,3,orange,NA,blue,orange,1,orange,1,1,10.133432356858238,NA
PILOT_002,27,F,2,urn,3,1,orange,orange,orange,blue,0,orange,0.24,NA,NA,1.6166901588439941
PILOT_002,27,F,2,urn,3,2,orange,orange,orange,blue,0,orange,0.95,NA,NA,1.8007550239562988
PILOT_002,27,F,2,urn,3,3,orange,orange,orange,blue,0,orange,0.99,NA,NA,1.7340359687805176
PILOT_002,27,F,2,urn,3,3,orange,NA,orange,blue,0,orange,0.99,1,10.106745885486593,NA
PILOT_002,27,F,2,urn,4,1,blue,blue,blue,orange,0,blue,0.19,NA,NA,1.8815333843231201
PILOT_002,27,F,2,urn,4,1,blue,NA,blue,orange,0,blue,0.19,1,5.9197292164113655,NA
