SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
PILOT_005,32,F,1,urn,1,1,orange,blue,orange,blue,1,blue,0.04,NA,NA,4.129605054855347
PILOT_005,32,F,1,urn,1,2,orange,orange,orange,blue,None,None,0,NA,NA,4.914723634719849
PILOT_005,32,F,1,urn,1,3,orange,orange,orange,blue,0,orange,0.05,NA,NA,3.752584934234619
PILOT_005,32,F,1,urn,1,4,orange,blue,orange,blue,None,None,0,NA,NA,3.3979508876800537
PILOT_005,32,F,1,urn,1,5,orange,blue,orange,blue,None,None,0,NA,NA,2.9986188411712646
PILOT_005,32,F,1,urn,1,5,orange,NA,orange,blue,None,None,0,0,0,NA
PILOT_005,32,F,1,urn,2,1,orange,orange,blue,orange,1,orange,0.07,NA,NA,6.613793849945068
PILOT_005,32,F,1,urn,2,2,orange,orange,blue,orange,1,orange,0.14,NA,NA,2.528668165206909
PILOT_005,32,F,1,urn,2,3,orange,orange,blue,orange,1,orange,0.31,NA,NA,2.9293410778045654
PILOT_005,32,F,1,urn,2,4,orange,orange,blue,orange,1,orange,0.41,NA,NA,2.3133959770202637
PILOT_005,32,F,1,urn,2,5,orange,orange,blue,orange,1,orange,0.52,NA,NA,3.3565940856933594
PILOT_005,32,F,1,urn,2,5,orange,NA,blue,orange,1,orange,0.52,1,8.472195472658916,NA
PILOT_005,32,F,1,urn,3,1,orange,orange,orange,blue,0,orange,0.06,NA,NA,3.220944881439209
PILOT_005,32,F,1,urn,3,1,orange,NA,orange,blue,0,orange,0.06,1,2.997439085859072,NA
PILOT_005,32,F,1,urn,4,1,blue,blue,orange,blue,1,blue,0.08,NA,NA,2.5964789390563965
PILOT_005,32,F,1,urn,4,2,blue,blue,orange,blue,1,blue,0.14,NA,NA,2.2636337280273438
PILOT_005,32,F,1,urn,4,2,blue,NA,orange,blue,1,blue,0.14,1,5.145521144834818,NA
PILOT_005,32,F,1,urn,5,1,blue,blue,blue,orange,0,blue,0.08,NA,NA,4.329071044921875
PILOT_005,32,F,1,urn,5,2,blue,orange,blue,orange,None,None,0,NA,NA,4.328728199005127
PILOT_005,32,F,1,urn,5,2,blue,NA,blue,orange,None,None,0,0,0,NA
PILOT_005,32,F,1,urn,6,1,orange,blue,blue,orange,0,blue,0.14,NA,NA,3.1615359783172607
PILOT_005,32,F,1,urn,6,2,orange,blue,blue,orange,0,blue,0.22,NA,NA,1.877633810043335
PILOT_005,32,F,1,urn,6,3,orange,orange,blue,orange,0,blue,0.22,NA,NA,3.5116679668426514
PILOT_005,32,F,1,urn,6,4,orange,orange,blue,orange,0,blue,0.13,NA,NA,3.8910880088806152
PILOT_005,32,F,1,urn,6,4,orange,NA,blue,orange,0,blue,0.13,0,-4.9576415184921565,NA
PILOT_005,32,F,1,urn,7,1,orange,blue,blue,orange,0,blue,0.17,NA,NA,4.033285856246948
PILOT_005,32,F,1,urn,7,2,orange,orange,blue,orange,None,None,0,NA,NA,4.165207862854004
PILOT_005,32,F,1,urn,7,3,orange,orange,blue,orange,1,orange,0.13,NA,NA,2.7634079456329346
PILOT_005,32,F,1,urn,7,3,orange,NA,blue,orange,1,orange,0.13,1,4.9576415184921565,NA
PILOT_005,32,F,1,urn,8,1,orange,blue,blue,orange,0,blue,0.11,NA,NA,3.5605533123016357
PILOT_005,32,F,1,urn,8,2,orange,orange,blue,orange,None,None,0,NA,NA,2.161558151245117
PILOT_005,32,F,1,urn,8,2,orange,NA,blue,orange,None,None,0,0,0,NA
PILOT_005,32,F,1,urn,9,1,orange,blue,blue,orange,0,blue,0.15,NA,NA,3.223634958267212
PILOT_005,32,F,1,urn,9,1,orange,NA,blue,orange,0,blue,0.15,0,-5.320432892364327,NA
PILOT_005,32,F,1,urn,10,1,orange,orange,blue,orange,1,orange,0.14,NA,NA,2.1436140537261963
PILOT_005,32,F,1,urn,10,2,orange,orange,blue,orange,1,orange,0.26,NA,NA,2.5234858989715576
PILOT_005,32,F,1,urn,10,3,orange,blue,blue,orange,1,orange,0.26,NA,NA,4.160490036010742
PILOT_005,32,F,1,urn,10,3,orange,NA,blue,orange,1,orange,0.26,1,6.714918495575536,NA
PILOT_005,32,F,1,urn,11,1,blue,blue,blue,orange,0,blue,0.09,NA,NA,2.8288650512695312
PILOT_005,32,F,1,urn,11,2,blue,orange,blue,orange,None,None,0,NA,NA,2.8306820392608643
PILOT_005,32,F,1,urn,11,2,blue,NA,blue,orange,None,None,0,0,0,NA
PILOT_005,32,F,1,urn,12,1,blue,blue,orange,blue,1,blue,0.1,NA,NA,2.9789178371429443
PILOT_005,32,F,1,urn,12,2,blue,blue,orange,blue,1,blue,0.28,NA,NA,1.9950790405273438
PILOT_005,32,F,1,urn,12,3,blue,blue,orange,blue,1,blue,0.4,NA,NA,2.295534133911133
PILOT_005,32,F,1,urn,12,3,blue,NA,orange,blue,1,blue,0.4,1,7.807045711556678,NA
PILOT_005,32,F,1,urn,13,1,orange,orange,orange,blue,0,orange,0.11,NA,NA,2.8273508548736572
PILOT_005,32,F,1,urn,13,2,orange,orange,orange,blue,0,orange,0.19,NA,NA,1.7368152141571045
PILOT_005,32,F,1,urn,13,2,orange,NA,orange,blue,0,orange,0.19,1,5.9197292164113655,NA
PILOT_005,32,F,1,urn,14,1,blue,orange,orange,blue,0,orange,0.13,NA,NA,1.8899857997894287
PILOT_005,32,F,1,urn,14,1,blue,NA,orange,blue,0,orange,0.13,0,-4.9576415184921565,NA
PILOT_005,32,F,1,urn,15,1,orange,orange,blue,orange,1,orange,0.14,NA,NA,2.7617640495300293
PILOT_005,32,F,1,urn,15,1,orange,NA,blue,orange,1,orange,0.14,1,5.145521144834818,NA
PILOT_005,32,F,1,urn,16,1,orange,blue,orange,blue,1,blue,0.15,NA,NA,3.01230788230896
PILOT_005,32,F,1,urn,16,2,orange,orange,orange,blue,None,None,0,NA,NA,1.995049238204956
PILOT_005,32,F,1,urn,16,3,orange,orange,orange,blue,0,orange,0.26,NA,NA,2.9293429851531982
PILOT_005,32,F,1,urn,16,4,orange,orange,orange,blue,0,orange,0.42,NA,NA,2.0974416732788086
PILOT_005,32,F,1,urn,16,4,orange,NA,orange,blue,0,orange,0.42,1,7.930739256892605,NA
PILOT_005,32,F,1,urn,17,1,blue,blue,orange,blue,1,blue,0.1,NA,NA,2.862687110900879
PILOT_005,32,F,1,urn,17,2,blue,blue,orange,blue,1,blue,0.25,NA,NA,2.239150047302246
PILOT_005,32,F,1,urn,17,2,blue,NA,orange,blue,1,blue,0.25,1,6.615485563895175,NA
PILOT_005,32,F,1,urn,18,1,blue,blue,orange,blue,1,blue,0.16,NA,NA,1.93141508102417
PILOT_005,32,F,1,urn,18,2,blue,blue,orange,blue,1,blue,0.28,NA,NA,2.424616813659668
PILOT_005,32,F,1,urn,18,3,blue,blue,orange,blue,1,blue,0.59,NA,NA,1.8250789642333984
PILOT_005,32,F,1,urn,18,4,blue,blue,orange,blue,1,blue,0.72,NA,NA,1.830679178237915
PILOT_005,32,F,1,urn,18,4,blue,NA,orange,blue,1,blue,0.72,1,9.297211152083618,NA
PILOT_005,32,F,1,urn,19,1,blue,blue,blue,orange,0,blue,0.18,NA,NA,3.2139556407928467
PILOT_005,32,F,1,urn,19,2,blue,blue,blue,orange,0,blue,0.29,NA,NA,2.062467098236084
PILOT_005,32,F,1,urn,19,3,blue,blue,blue,orange,0,blue,0.5,NA,NA,1.663938045501709
PILOT_005,32,F,1,urn,19,3,blue,NA,blue,orange,0,blue,0.5,1,8.372762540978552,NA
PILOT_005,32,F,1,urn,20,1,orange,orange,orange,blue,0,orange,0.12,NA,NA,2.7948050498962402
PILOT_005,32,F,1,urn,20,2,orange,orange,orange,blue,0,orange,0.29,NA,NA,1.7281651496887207
PILOT_005,32,F,1,urn,20,3,orange,orange,orange,blue,0,orange,0.46,NA,NA,2.2301599979400635
PILOT_005,32,F,1,urn,20,4,orange,orange,orange,blue,0,orange,0.82,NA,NA,3.180935859680176
PILOT_005,32,F,1,urn,20,4,orange,NA,orange,blue,0,orange,0.82,1,9.62692376504355,NA
PILOT_005,32,F,1,urn,21,1,blue,blue,orange,blue,1,blue,0.12,NA,NA,2.8824269771575928
PILOT_005,32,F,1,urn,21,2,blue,blue,orange,blue,1,blue,0.26,NA,NA,1.8390147686004639
PILOT_005,32,F,1,urn,21,3,blue,orange,orange,blue,1,blue,0.26,NA,NA,3.9605729579925537
PILOT_005,32,F,1,urn,21,4,blue,blue,orange,blue,1,blue,0.32,NA,NA,1.8308742046356201
PILOT_005,32,F,1,urn,21,4,blue,NA,orange,blue,1,blue,0.32,1,7.241328882134802,NA
