SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
PILOT_001,32,F,1,urn,1,1,orange,blue,orange,blue,1,blue,0.07,NA,NA,6.432056903839111
PILOT_001,32,F,1,urn,1,2,orange,orange,orange,blue,None,None,0,NA,NA,5.143684148788452
PILOT_001,32,F,1,urn,1,2,orange,NA,orange,blue,None,None,0,0,0,NA
PILOT_001,32,F,1,urn,2,1,blue,blue,blue,orange,0,blue,0.24,NA,NA,2.6492958068847656
PILOT_001,32,F,1,urn,2,1,blue,NA,blue,orange,0,blue,0.24,1,6.51199304002583,NA
PILOT_001,32,F,1,urn,3,1,orange,blue,blue,orange,0,blue,0.26,NA,NA,3.0144851207733154
PILOT_001,32,F,1,urn,3,2,orange,orange,blue,orange,0,blue,0.13,NA,NA,2.3156578540802
PILOT_001,32,F,1,urn,3,3,orange,orange,blue,orange,1,orange,0.12,NA,NA,2.635493040084839
PILOT_001,32,F,1,urn,3,3,orange,NA,blue,orange,1,orange,0.12,1,4.754716062942451,NA
PILOT_001,32,F,1,urn,4,1,blue,blue,orange,blue,1,blue,0.23,NA,NA,3.056023120880127
PILOT_001,32,F,1,urn,4,2,blue,orange,orange,blue,1,blue,0.07,NA,NA,2.0522778034210205
PILOT_001,32,F,1,urn,4,3,blue,blue,orange,blue,1,blue,0.26,NA,NA,2.2108261585235596
PILOT_001,32,F,1,urn,4,3,blue,NA,orange,blue,1,blue,0.26,1,6.714918495575536,NA
PILOT_001,32,F,1,urn,5,1,orange,orange,blue,orange,1,orange,0.15,NA,NA,2.304628849029541
PILOT_001,32,F,1,urn,5,2,orange,blue,blue,orange,1,orange,0.07,NA,NA,2.3011298179626465
PILOT_001,32,F,1,urn,5,2,orange,NA,blue,orange,1,orange,0.07,1,3.3882441677514388,NA
PILOT_001,32,F,1,urn,6,1,blue,blue,orange,blue,1,blue,0.28,NA,NA,1.9078342914581299
PILOT_001,32,F,1,urn,6,2,blue,orange,orange,blue,1,blue,0.15,NA,NA,1.97291898727417
PILOT_001,32,F,1,urn,6,3,blue,orange,orange,blue,0,orange,0.08,NA,NA,3.0403330326080322
PILOT_001,32,F,1,urn,6,4,blue,blue,orange,blue,None,None,0,NA,NA,3.542078971862793
PILOT_001,32,F,1,urn,6,5,blue,blue,orange,blue,1,blue,0.12,NA,NA,2.2337141036987305
PILOT_001,32,F,1,urn,6,5,blue,NA,orange,blue,1,blue,0.12,1,4.754716062942451,NA
PILOT_001,32,F,1,urn,7,1,orange,orange,orange,blue,0,orange,0.09,NA,NA,2.4019618034362793
