SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
PILOT_004,27,M,2,hazard,1,1,high,orange,low,high,None,None,0,NA,NA,2.296143054962158
PILOT_004,27,M,2,hazard,1,1,high,NA,low,high,None,None,0,0,0,NA
PILOT_004,27,M,2,hazard,2,1,low,orange,low,high,None,None,0,NA,NA,1.194094181060791
PILOT_004,27,M,2,hazard,2,2,low,orange,low,high,0,low,0.09,NA,NA,3.6975789070129395
PILOT_004,27,M,2,hazard,2,3,low,orange,low,high,0,low,0.72,NA,NA,3.330476999282837
PILOT_004,27,M,2,hazard,2,3,low,NA,low,high,0,low,0.72,1,9.297211152083618,NA
PILOT_004,27,M,2,hazard,3,1,high,blue,high,low,None,None,0,NA,NA,1.1102280616760254
PILOT_004,27,M,2,hazard,3,2,high,orange,high,low,0,high,0.14,NA,NA,1.977409839630127
PILOT_004,27,M,2,hazard,3,3,high,blue,high,low,0,high,0.73,NA,NA,1.6037991046905518
PILOT_004,27,M,2,hazard,3,3,high,NA,high,low,0,high,0.73,1,9.332180186223043,NA
PILOT_004,27,M,2,hazard,4,1,low,orange,high,low,None,None,0,NA,NA,1.044562816619873
PILOT_004,27,M,2,hazard,4,2,low,orange,high,low,1,low,0.34,NA,NA,2.813365936279297
PILOT_004,27,M,2,hazard,4,3,low,orange,high,low,1,low,1,NA,NA,1.5245721340179443
PILOT_004,27,M,2,hazard,4,4,low,orange,high,low,1,low,1,NA,NA,1.0286307334899902
PILOT_004,27,M,2,hazard,4,5,low,orange,high,low,1,low,1,NA,NA,1.2965948581695557
PILOT_004,27,M,2,hazard,4,5,low,NA,high,low,1,low,1,1,10.133432356858238,NA
PILOT_004,27,M,2,hazard,5,1,low,blue,high,low,None,None,0,NA,NA,0.8615150451660156
PILOT_004,27,M,2,hazard,5,2,low,blue,high,low,1,low,0.26,NA,NA,2.063976287841797
PILOT_004,27,M,2,hazard,5,3,low,orange,high,low,1,low,0.22,NA,NA,2.247957944869995
PILOT_004,27,M,2,hazard,5,4,low,orange,high,low,1,low,1,NA,NA,3.8298802375793457
PILOT_004,27,M,2,hazard,5,5,low,orange,high,low,1,low,1,NA,NA,0.7973849773406982
