SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ_18,53,M,2,hazard,1,1,low,orange,high,low,1,low,0.8,NA,NA,5.955045223236084
SUBJ_18,53,M,2,hazard,1,1,low,NA,high,low,1,low,0.8,1,10.0,NA
SUBJ_18,53,M,2,hazard,2,1,low,orange,low,high,1,high,0.89,NA,NA,5.351218938827515
SUBJ_18,53,M,2,hazard,2,1,low,NA,low,high,1,high,0.89,0,-9.0,NA
SUBJ_18,53,M,2,hazard,3,1,high,blue,low,high,1,high,0.85,NA,NA,2.7277140617370605
SUBJ_18,53,M,2,hazard,3,2,high,orange,low,high,1,high,0.85,NA,NA,5.65497088432312
SUBJ_18,53,M,2,hazard,3,2,high,NA,low,high,1,high,0.85,1,10.0,NA
SUBJ_18,53,M,2,hazard,4,1,low,orange,low,high,0,low,0.89,NA,NA,3.1502671241760254
SUBJ_18,53,M,2,hazard,4,2,low,orange,low,high,0,low,0.89,NA,NA,4.60303807258606
SUBJ_18,53,M,2,hazard,4,3,low,orange,low,high,0,low,0.89,NA,NA,6.305083990097046
SUBJ_18,53,M,2,hazard,4,3,low,NA,low,high,0,low,0.89,1,10.0,NA
SUBJ_18,53,M,2,hazard,5,1,high,orange,low,high,1,high,0.9,NA,NA,5.231627941131592
SUBJ_18,53,M,2,hazard,5,2,high,blue,low,high,1,high,0.92,NA,NA,3.4992010593414307
SUBJ_18,53,M,2,hazard,5,3,high,orange,low,high,1,high,0.92,NA,NA,4.043396949768066
SUBJ_18,53,M,2,hazard,5,4,high,blue,low,high,1,high,0.96,NA,NA,4.7167580127716064
SUBJ_18,53,M,2,hazard,5,4,high,NA,low,high,1,high,0.96,1,10.0,NA
SUBJ_18,53,M,2,hazard,6,1,high,orange,high,low,0,high,0.97,NA,NA,2.531359910964966
SUBJ_18,53,M,2,hazard,6,2,high,blue,high,low,1,low,0.94,NA,NA,3.1290931701660156
SUBJ_18,53,M,2,hazard,6,3,high,orange,high,low,1,low,0.95,NA,NA,5.4016571044921875
SUBJ_18,53,M,2,hazard,6,4,high,orange,high,low,0,high,0.94,NA,NA,3.53310489654541
SUBJ_18,53,M,2,hazard,6,5,high,blue,high,low,1,low,0.95,NA,NA,5.269113063812256
SUBJ_18,53,M,2,hazard,6,5,high,NA,high,low,1,low,0.95,0,-10.0,NA
SUBJ_18,53,M,2,hazard,7,1,high,blue,low,high,0,low,0.95,NA,NA,4.7741100788116455
