SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__16,56,F,1,urn,1,1,blue,blue,blue,orange,0,blue,0.16,NA,NA,4.3489990234375
SUBJ__16,56,F,1,urn,1,2,blue,blue,blue,orange,0,blue,0.28,NA,NA,1.6140758991241455
SUBJ__16,56,F,1,urn,1,3,blue,blue,blue,orange,0,blue,0.51,NA,NA,1.798844814300537
SUBJ__16,56,F,1,urn,1,4,blue,blue,blue,orange,0,blue,0.71,NA,NA,1.9624438285827637
SUBJ__16,56,F,1,urn,1,4,blue,NA,blue,orange,0,blue,0.71,1,10.0,NA
SUBJ__16,56,F,1,urn,2,1,blue,blue,orange,blue,1,blue,0.06,NA,NA,1.3643019199371338
SUBJ__16,56,F,1,urn,2,2,blue,blue,orange,blue,0,orange,0.23,NA,NA,1.3747141361236572
SUBJ__16,56,F,1,urn,2,3,blue,blue,orange,blue,0,orange,0.45,NA,NA,1.6557579040527344
SUBJ__16,56,F,1,urn,2,4,blue,blue,orange,blue,0,orange,0.8,NA,NA,2.1218788623809814
SUBJ__16,56,F,1,urn,2,5,blue,blue,orange,blue,0,orange,0.91,NA,NA,2.064864158630371
SUBJ__16,56,F,1,urn,2,5,blue,NA,orange,blue,0,orange,0.91,0,-9.0,NA
SUBJ__16,56,F,1,urn,3,1,orange,orange,orange,blue,0,orange,0.09,NA,NA,1.7143781185150146
SUBJ__16,56,F,1,urn,3,2,orange,orange,orange,blue,0,orange,0.31,NA,NA,1.4644427299499512
SUBJ__16,56,F,1,urn,3,3,orange,blue,orange,blue,None,None,0,NA,NA,1.899407148361206
SUBJ__16,56,F,1,urn,3,3,orange,NA,orange,blue,None,None,0,0,0,NA
SUBJ__16,56,F,1,urn,4,1,blue,blue,blue,orange,0,blue,0.09,NA,NA,1.5807240009307861
SUBJ__16,56,F,1,urn,4,1,blue,NA,blue,orange,0,blue,0.09,1,3.0,NA
SUBJ__16,56,F,1,urn,5,1,orange,blue,orange,blue,1,blue,0.36,NA,NA,1.9451091289520264
SUBJ__16,56,F,1,urn,5,2,orange,orange,orange,blue,1,blue,0.04,NA,NA,3.5654399394989014
SUBJ__16,56,F,1,urn,5,3,orange,orange,orange,blue,0,orange,0.2,NA,NA,1.2804231643676758
SUBJ__16,56,F,1,urn,5,4,orange,orange,orange,blue,0,orange,0.28,NA,NA,1.6928448677062988
SUBJ__16,56,F,1,urn,5,4,orange,NA,orange,blue,0,orange,0.28,1,7.0,NA
SUBJ__16,56,F,1,urn,6,1,orange,orange,blue,orange,1,orange,0.05,NA,NA,1.6863188743591309
