SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__19,20,M,1,urn,1,1,orange,orange,orange,blue,0,orange,0.04,NA,NA,4.8197572231292725
SUBJ__19,20,M,1,urn,1,2,orange,orange,orange,blue,0,orange,0.06,NA,NA,2.6010971069335938
SUBJ__19,20,M,1,urn,1,3,orange,blue,orange,blue,0,orange,0.08,NA,NA,3.9004600048065186
SUBJ__19,20,M,1,urn,1,4,orange,orange,orange,blue,0,orange,0.1,NA,NA,2.0987319946289062
SUBJ__19,20,M,1,urn,1,5,orange,blue,orange,blue,0,orange,0.15,NA,NA,4.2994911670684814
SUBJ__19,20,M,1,urn,1,5,orange,NA,orange,blue,0,orange,0.15,1,4.0,NA
SUBJ__19,20,M,1,urn,2,1,orange,blue,orange,blue,None,None,0,NA,NA,1.9712140560150146
SUBJ__19,20,M,1,urn,2,2,orange,orange,orange,blue,None,None,0,NA,NA,2.743396759033203
SUBJ__19,20,M,1,urn,2,3,orange,orange,orange,blue,None,None,0,NA,NA,2.1510541439056396
SUBJ__19,20,M,1,urn,2,3,orange,NA,orange,blue,None,None,0,0,0,NA
SUBJ__19,20,M,1,urn,3,1,orange,orange,blue,orange,None,None,0,NA,NA,2.0839788913726807
SUBJ__19,20,M,1,urn,3,2,orange,orange,blue,orange,1,orange,0.04,NA,NA,2.2338950634002686
SUBJ__19,20,M,1,urn,3,3,orange,orange,blue,orange,1,orange,0.11,NA,NA,2.733959197998047
SUBJ__19,20,M,1,urn,3,4,orange,blue,blue,orange,1,orange,0.12,NA,NA,1.7999038696289062
SUBJ__19,20,M,1,urn,3,5,orange,orange,blue,orange,1,orange,0.48,NA,NA,2.9690990447998047
SUBJ__19,20,M,1,urn,3,5,orange,NA,blue,orange,1,orange,0.48,1,9.0,NA
SUBJ__19,20,M,1,urn,4,1,orange,orange,blue,orange,None,None,0,NA,NA,2.549075126647949
SUBJ__19,20,M,1,urn,4,2,orange,orange,blue,orange,1,orange,0.04,NA,NA,1.6670079231262207
SUBJ__19,20,M,1,urn,4,3,orange,orange,blue,orange,1,orange,0.14,NA,NA,2.81086802482605
SUBJ__19,20,M,1,urn,4,3,orange,NA,blue,orange,1,orange,0.14,1,4.0,NA
SUBJ__19,20,M,1,urn,5,1,blue,blue,orange,blue,None,None,0,NA,NA,1.6425037384033203
SUBJ__19,20,M,1,urn,5,2,blue,blue,orange,blue,1,blue,0.07,NA,NA,2.8272950649261475
SUBJ__19,20,M,1,urn,5,2,blue,NA,orange,blue,1,blue,0.07,1,2.0,NA
SUBJ__19,20,M,1,urn,6,1,blue,blue,orange,blue,1,blue,0.03,NA,NA,1.731278896331787
SUBJ__19,20,M,1,urn,6,1,blue,NA,orange,blue,1,blue,0.03,1,1.0,NA
SUBJ__19,20,M,1,urn,7,1,orange,orange,blue,orange,None,None,0,NA,NA,2.949673891067505
SUBJ__19,20,M,1,urn,7,2,orange,orange,blue,orange,1,orange,0.05,NA,NA,1.7037198543548584
SUBJ__19,20,M,1,urn,7,3,orange,orange,blue,orange,1,orange,0.24,NA,NA,2.366793155670166
SUBJ__19,20,M,1,urn,7,4,orange,orange,blue,orange,1,orange,0.99,NA,NA,2.6011509895324707
SUBJ__19,20,M,1,urn,7,4,orange,NA,blue,orange,1,orange,0.99,1,10.0,NA
SUBJ__19,20,M,1,urn,8,1,orange,orange,blue,orange,None,None,0,NA,NA,2.8169970512390137
SUBJ__19,20,M,1,urn,8,2,orange,blue,blue,orange,None,None,0,NA,NA,2.7445638179779053
SUBJ__19,20,M,1,urn,8,2,orange,NA,blue,orange,None,None,0,0,0,NA
SUBJ__19,20,M,1,urn,9,1,orange,orange,orange,blue,None,None,0,NA,NA,1.7088510990142822
SUBJ__19,20,M,1,urn,9,2,orange,blue,orange,blue,None,None,0,NA,NA,2.058551788330078
SUBJ__19,20,M,1,urn,9,3,orange,blue,orange,blue,None,None,0,NA,NA,1.8965890407562256
