SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__7,44,M,1,urn,1,1,orange,orange,orange,blue,0,orange,0.98,NA,NA,8.096986055374146
SUBJ__7,44,M,1,urn,1,1,orange,NA,orange,blue,0,orange,0.98,1,10.0,NA
SUBJ__7,44,M,1,urn,2,1,blue,blue,orange,blue,0,orange,0.82,NA,NA,12.459332942962646
SUBJ__7,44,M,1,urn,2,2,blue,orange,orange,blue,0,orange,0.97,NA,NA,9.378227949142456
SUBJ__7,44,M,1,urn,2,3,blue,blue,orange,blue,0,orange,0.95,NA,NA,6.235058307647705
SUBJ__7,44,M,1,urn,2,3,blue,NA,orange,blue,0,orange,0.95,0,-10.0,NA
SUBJ__7,44,M,1,urn,3,1,blue,blue,blue,orange,0,blue,0.96,NA,NA,7.6316752433776855
SUBJ__7,44,M,1,urn,3,2,blue,blue,blue,orange,0,blue,0.97,NA,NA,2.5067570209503174
SUBJ__7,44,M,1,urn,3,3,blue,orange,blue,orange,0,blue,0.97,NA,NA,3.955325126647949
SUBJ__7,44,M,1,urn,3,4,blue,blue,blue,orange,0,blue,0.96,NA,NA,4.566504955291748
SUBJ__7,44,M,1,urn,3,5,blue,orange,blue,orange,0,blue,0.96,NA,NA,2.8816771507263184
SUBJ__7,44,M,1,urn,3,5,blue,NA,blue,orange,0,blue,0.96,1,10.0,NA
SUBJ__7,44,M,1,urn,4,1,blue,blue,orange,blue,1,blue,0.91,NA,NA,7.747389078140259
SUBJ__7,44,M,1,urn,4,1,blue,NA,orange,blue,1,blue,0.91,1,10.0,NA
SUBJ__7,44,M,1,urn,5,1,blue,orange,blue,orange,1,orange,0.93,NA,NA,14.577008962631226
SUBJ__7,44,M,1,urn,5,2,blue,orange,blue,orange,1,orange,0.93,NA,NA,3.492262840270996
SUBJ__7,44,M,1,urn,5,3,blue,blue,blue,orange,1,orange,0.93,NA,NA,1.7963151931762695
SUBJ__7,44,M,1,urn,5,4,blue,blue,blue,orange,1,orange,0.93,NA,NA,2.5304219722747803
SUBJ__7,44,M,1,urn,5,4,blue,NA,blue,orange,1,orange,0.93,0,-9.0,NA
SUBJ__7,44,M,1,urn,6,1,orange,orange,blue,orange,1,orange,0.96,NA,NA,9.601311922073364
SUBJ__7,44,M,1,urn,6,2,orange,orange,blue,orange,1,orange,0.96,NA,NA,1.6623339653015137
SUBJ__7,44,M,1,urn,6,3,orange,blue,blue,orange,1,orange,0.96,NA,NA,6.059767007827759
SUBJ__7,44,M,1,urn,6,3,orange,NA,blue,orange,1,orange,0.96,1,10.0,NA
SUBJ__7,44,M,1,urn,7,1,blue,blue,blue,orange,0,blue,0.99,NA,NA,11.419275999069214
SUBJ__7,44,M,1,urn,7,2,blue,blue,blue,orange,0,blue,0.99,NA,NA,3.436289072036743
SUBJ__7,44,M,1,urn,7,2,blue,NA,blue,orange,0,blue,0.99,1,10.0,NA
