SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ___15,22,F,2,hazard,1,1,low,blue,high,low,None,None,0,NA,NA,28.27408504486084
SUBJ___15,22,F,2,hazard,1,2,low,blue,high,low,0,high,0.06,NA,NA,2.364942789077759
SUBJ___15,22,F,2,hazard,1,3,low,blue,high,low,0,high,0.15,NA,NA,2.034404754638672
SUBJ___15,22,F,2,hazard,1,3,low,NA,high,low,0,high,0.15,0,-2.0,NA
SUBJ___15,22,F,2,hazard,2,1,high,orange,high,low,None,None,0,NA,NA,4.1958911418914795
SUBJ___15,22,F,2,hazard,2,2,high,orange,high,low,1,low,0.06,NA,NA,2.7967581748962402
SUBJ___15,22,F,2,hazard,2,3,high,blue,high,low,1,low,0.06,NA,NA,5.063585996627808
SUBJ___15,22,F,2,hazard,2,4,high,orange,high,low,0,high,0.13,NA,NA,3.7746689319610596
SUBJ___15,22,F,2,hazard,2,4,high,NA,high,low,0,high,0.13,1,4.0,NA
SUBJ___15,22,F,2,hazard,3,1,high,blue,low,high,None,None,0,NA,NA,4.881065130233765
SUBJ___15,22,F,2,hazard,3,2,high,orange,low,high,1,high,0.14,NA,NA,2.2932002544403076
SUBJ___15,22,F,2,hazard,3,3,high,blue,low,high,1,high,0.37,NA,NA,1.6159288883209229
SUBJ___15,22,F,2,hazard,3,3,high,NA,low,high,1,high,0.37,1,8.0,NA
SUBJ___15,22,F,2,hazard,4,1,low,blue,low,high,None,None,0,NA,NA,2.3311429023742676
SUBJ___15,22,F,2,hazard,4,2,low,blue,low,high,0,low,0.11,NA,NA,2.230614185333252
SUBJ___15,22,F,2,hazard,4,3,low,blue,low,high,0,low,0.43,NA,NA,3.0305559635162354
SUBJ___15,22,F,2,hazard,4,4,low,blue,low,high,0,low,0.86,NA,NA,1.6311419010162354
SUBJ___15,22,F,2,hazard,4,5,low,blue,low,high,0,low,0.99,NA,NA,1.3972489833831787
SUBJ___15,22,F,2,hazard,4,5,low,NA,low,high,0,low,0.99,1,10.0,NA
SUBJ___15,22,F,2,hazard,5,1,low,blue,high,low,None,None,0,NA,NA,2.0953421592712402
SUBJ___15,22,F,2,hazard,5,2,low,blue,high,low,1,low,0.19,NA,NA,3.1393280029296875
SUBJ___15,22,F,2,hazard,5,3,low,blue,high,low,1,low,0.53,NA,NA,2.6305289268493652
SUBJ___15,22,F,2,hazard,5,3,low,NA,high,low,1,low,0.53,1,9.0,NA
SUBJ___15,22,F,2,hazard,6,1,high,blue,low,high,None,None,0,NA,NA,1.128871202468872
SUBJ___15,22,F,2,hazard,6,2,high,orange,low,high,1,high,0.25,NA,NA,1.8248910903930664
SUBJ___15,22,F,2,hazard,6,3,high,blue,low,high,1,high,0.6,NA,NA,1.4134268760681152
SUBJ___15,22,F,2,hazard,6,4,high,orange,low,high,1,high,1.0,NA,NA,2.4997801780700684
SUBJ___15,22,F,2,hazard,6,4,high,NA,low,high,1,high,1.0,1,10,NA
SUBJ___15,22,F,2,hazard,7,1,low,orange,high,low,None,None,0,NA,NA,1.8475699424743652
SUBJ___15,22,F,2,hazard,7,1,low,NA,high,low,None,None,0,0,0,NA
SUBJ___15,22,F,2,hazard,8,1,low,orange,low,high,None,None,0,NA,NA,2.3471109867095947
SUBJ___15,22,F,2,hazard,8,2,low,orange,low,high,0,low,0.41,NA,NA,3.8656091690063477
SUBJ___15,22,F,2,hazard,8,3,low,orange,low,high,0,low,1.0,NA,NA,1.5320560932159424
SUBJ___15,22,F,2,hazard,8,4,low,orange,low,high,0,low,1.0,NA,NA,1.092073917388916
SUBJ___15,22,F,2,hazard,8,5,low,orange,low,high,0,low,1.0,NA,NA,0.9921112060546875
SUBJ___15,22,F,2,hazard,8,5,low,NA,low,high,0,low,1.0,1,10,NA
SUBJ___15,22,F,2,hazard,9,1,low,orange,low,high,None,None,0,NA,NA,1.6211631298065186
SUBJ___15,22,F,2,hazard,9,2,low,blue,low,high,1,high,0.24,NA,NA,1.3887441158294678
SUBJ___15,22,F,2,hazard,9,3,low,blue,low,high,1,high,0.18,NA,NA,2.041839838027954
SUBJ___15,22,F,2,hazard,9,4,low,blue,low,high,0,low,0.08,NA,NA,2.8276889324188232
SUBJ___15,22,F,2,hazard,9,5,low,blue,low,high,0,low,0.57,NA,NA,1.5980427265167236
SUBJ___15,22,F,2,hazard,9,5,low,NA,low,high,0,low,0.57,1,9.0,NA
SUBJ___15,22,F,2,hazard,10,1,high,blue,high,low,None,None,0,NA,NA,1.830409049987793
SUBJ___15,22,F,2,hazard,10,2,high,orange,high,low,0,high,0.68,NA,NA,3.6658051013946533
SUBJ___15,22,F,2,hazard,10,3,high,blue,high,low,0,high,0.76,NA,NA,1.8287250995635986
SUBJ___15,22,F,2,hazard,10,4,high,orange,high,low,0,high,1.0,NA,NA,1.396751880645752
SUBJ___15,22,F,2,hazard,10,5,high,blue,high,low,0,high,1.0,NA,NA,0.8954901695251465
SUBJ___15,22,F,2,hazard,10,5,high,NA,high,low,0,high,1.0,1,10,NA
