SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__11,20,M,2,hazard,1,1,high,orange,high,low,None,None,0,NA,NA,3.5802481174468994
SUBJ__11,20,M,2,hazard,1,2,high,blue,high,low,None,None,0,NA,NA,3.4631309509277344
SUBJ__11,20,M,2,hazard,1,3,high,orange,high,low,None,None,0,NA,NA,5.598097085952759
SUBJ__11,20,M,2,hazard,1,4,high,blue,high,low,0,high,1.0,NA,NA,8.173776865005493
SUBJ__11,20,M,2,hazard,1,5,high,orange,high,low,0,high,1,NA,NA,2.536652088165283
SUBJ__11,20,M,2,hazard,1,5,high,NA,high,low,0,high,1,1,10,NA
SUBJ__11,20,M,2,hazard,2,1,low,blue,high,low,None,None,0,NA,NA,1.7795472145080566
SUBJ__11,20,M,2,hazard,2,2,low,blue,high,low,None,None,0,NA,NA,5.348675012588501
SUBJ__11,20,M,2,hazard,2,3,low,orange,high,low,None,None,0,NA,NA,2.9973602294921875
SUBJ__11,20,M,2,hazard,2,4,low,orange,high,low,0,high,1,NA,NA,5.130324840545654
SUBJ__11,20,M,2,hazard,2,4,low,NA,high,low,0,high,1,0,-10,NA
SUBJ__11,20,M,2,hazard,3,1,low,orange,high,low,None,None,0,NA,NA,2.5942540168762207
SUBJ__11,20,M,2,hazard,3,2,low,orange,high,low,None,None,0,NA,NA,3.8965749740600586
SUBJ__11,20,M,2,hazard,3,3,low,orange,high,low,1,low,1,NA,NA,2.8637309074401855
SUBJ__11,20,M,2,hazard,3,3,low,NA,high,low,1,low,1,1,10,NA
SUBJ__11,20,M,2,hazard,4,1,low,orange,high,low,None,None,0,NA,NA,1.735259771347046
SUBJ__11,20,M,2,hazard,4,2,low,blue,high,low,None,None,0,NA,NA,1.4616219997406006
SUBJ__11,20,M,2,hazard,4,3,low,blue,high,low,None,None,0,NA,NA,2.5151729583740234
SUBJ__11,20,M,2,hazard,4,3,low,NA,high,low,None,None,0,0,0,NA
SUBJ__11,20,M,2,hazard,5,1,high,blue,high,low,None,None,0,NA,NA,1.6293809413909912
SUBJ__11,20,M,2,hazard,5,2,high,blue,high,low,None,None,0,NA,NA,3.3971221446990967
SUBJ__11,20,M,2,hazard,5,3,high,orange,high,low,1,low,0.45,NA,NA,6.031198978424072
SUBJ__11,20,M,2,hazard,5,3,high,NA,high,low,1,low,0.45,0,-4.0,NA
SUBJ__11,20,M,2,hazard,6,1,high,blue,low,high,None,None,0,NA,NA,1.595947027206421
SUBJ__11,20,M,2,hazard,6,2,high,orange,low,high,None,None,0,NA,NA,1.1272847652435303
SUBJ__11,20,M,2,hazard,6,3,high,orange,low,high,None,None,0,NA,NA,3.614078998565674
SUBJ__11,20,M,2,hazard,6,4,high,blue,low,high,0,low,1,NA,NA,5.074045181274414
SUBJ__11,20,M,2,hazard,6,4,high,NA,low,high,0,low,1,0,-10,NA
