SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__13,21,M,2,hazard,1,1,low,orange,low,high,None,None,0,NA,NA,3.8165152072906494
SUBJ__13,21,M,2,hazard,1,2,low,orange,low,high,0,low,0.44,NA,NA,2.6964612007141113
SUBJ__13,21,M,2,hazard,1,2,low,NA,low,high,0,low,0.44,1,9.0,NA
SUBJ__13,21,M,2,hazard,2,1,low,blue,high,low,None,None,0,NA,NA,2.731232166290283
SUBJ__13,21,M,2,hazard,2,2,low,orange,high,low,0,high,0.47,NA,NA,5.029901027679443
SUBJ__13,21,M,2,hazard,2,3,low,orange,high,low,0,high,0.3,NA,NA,4.769146203994751
SUBJ__13,21,M,2,hazard,2,4,low,orange,high,low,1,low,0.58,NA,NA,7.648705959320068
SUBJ__13,21,M,2,hazard,2,5,low,orange,high,low,1,low,1.0,NA,NA,1.5140528678894043
SUBJ__13,21,M,2,hazard,2,5,low,NA,high,low,1,low,1.0,1,10,NA
SUBJ__13,21,M,2,hazard,3,1,high,orange,low,high,None,None,0,NA,NA,1.5975277423858643
SUBJ__13,21,M,2,hazard,3,1,high,NA,low,high,None,None,0,0,0,NA
SUBJ__13,21,M,2,hazard,4,1,low,orange,low,high,None,None,0,NA,NA,1.7794630527496338
SUBJ__13,21,M,2,hazard,4,2,low,orange,low,high,0,low,0.36,NA,NA,4.039432048797607
SUBJ__13,21,M,2,hazard,4,3,low,blue,low,high,0,low,0.2,NA,NA,3.4060511589050293
SUBJ__13,21,M,2,hazard,4,3,low,NA,low,high,0,low,0.2,1,6.0,NA
SUBJ__13,21,M,2,hazard,5,1,low,orange,high,low,None,None,0,NA,NA,1.4601318836212158
SUBJ__13,21,M,2,hazard,5,2,low,orange,high,low,1,low,0.25,NA,NA,4.596390008926392
SUBJ__13,21,M,2,hazard,5,3,low,blue,high,low,1,low,0.1,NA,NA,3.0123379230499268
SUBJ__13,21,M,2,hazard,5,4,low,blue,high,low,1,low,0.32,NA,NA,3.7885582447052
SUBJ__13,21,M,2,hazard,5,4,low,NA,high,low,1,low,0.32,1,8.0,NA
SUBJ__13,21,M,2,hazard,6,1,high,orange,high,low,None,None,0,NA,NA,1.5040678977966309
SUBJ__13,21,M,2,hazard,6,2,high,blue,high,low,0,high,0.27,NA,NA,2.7119557857513428
SUBJ__13,21,M,2,hazard,6,3,high,orange,high,low,0,high,0.6,NA,NA,1.6808640956878662
SUBJ__13,21,M,2,hazard,6,4,high,blue,high,low,0,high,1,NA,NA,1.5970218181610107
SUBJ__13,21,M,2,hazard,6,4,high,NA,high,low,0,high,1,1,10,NA
SUBJ__13,21,M,2,hazard,7,1,low,blue,high,low,None,None,0,NA,NA,1.3294730186462402
SUBJ__13,21,M,2,hazard,7,1,low,NA,high,low,None,None,0,0,0,NA
SUBJ__13,21,M,2,hazard,8,1,high,blue,high,low,None,None,0,NA,NA,1.6943690776824951
SUBJ__13,21,M,2,hazard,8,1,high,NA,high,low,None,None,0,0,0,NA
SUBJ__13,21,M,2,hazard,9,1,high,orange,high,low,None,None,0,NA,NA,2.296489953994751
SUBJ__13,21,M,2,hazard,9,2,high,blue,high,low,0,high,0.35,NA,NA,3.5000410079956055
SUBJ__13,21,M,2,hazard,9,3,high,orange,high,low,0,high,0.71,NA,NA,1.5551948547363281
