SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
Leonid ,39,M,1,urn,1,1,blue,blue,blue,orange,0,blue,0.67,NA,NA,5.832996129989624
Leonid ,39,M,1,urn,1,2,blue,orange,blue,orange,1,orange,0.63,NA,NA,4.396504878997803
Leonid ,39,M,1,urn,1,3,blue,orange,blue,orange,1,orange,0.67,NA,NA,6.030772924423218
Leonid ,39,M,1,urn,1,4,blue,blue,blue,orange,0,blue,0.68,NA,NA,5.664745807647705
Leonid ,39,M,1,urn,1,4,blue,NA,blue,orange,0,blue,0.68,1,10.0,NA
Leonid ,39,M,1,urn,2,1,orange,orange,orange,blue,0,orange,0.66,NA,NA,3.053399085998535
Leonid ,39,M,1,urn,2,2,orange,orange,orange,blue,0,orange,0.72,NA,NA,2.8321521282196045
Leonid ,39,M,1,urn,2,3,orange,orange,orange,blue,0,orange,0.78,NA,NA,4.860234022140503
Leonid ,39,M,1,urn,2,4,orange,orange,orange,blue,0,orange,0.53,NA,NA,1.8148832321166992
Leonid ,39,M,1,urn,2,4,orange,NA,orange,blue,0,orange,0.53,1,9.0,NA
Leonid ,39,M,1,urn,3,1,orange,orange,orange,blue,0,orange,0.76,NA,NA,4.295835971832275
Leonid ,39,M,1,urn,3,2,orange,orange,orange,blue,0,orange,0.68,NA,NA,1.827826738357544
Leonid ,39,M,1,urn,3,2,orange,NA,orange,blue,0,orange,0.68,1,10.0,NA
Leonid ,39,M,1,urn,4,1,orange,orange,blue,orange,1,orange,0.71,NA,NA,2.526784896850586
Leonid ,39,M,1,urn,4,2,orange,orange,blue,orange,1,orange,0.75,NA,NA,1.8791639804840088
Leonid ,39,M,1,urn,4,3,orange,blue,blue,orange,0,blue,0.66,NA,NA,2.3450372219085693
Leonid ,39,M,1,urn,4,4,orange,orange,blue,orange,1,orange,0.59,NA,NA,2.663577079772949
Leonid ,39,M,1,urn,4,5,orange,orange,blue,orange,1,orange,0.65,NA,NA,2.3804378509521484
Leonid ,39,M,1,urn,4,5,orange,NA,blue,orange,1,orange,0.65,1,10.0,NA
