SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__20,19,F,1,urn,1,1,orange,orange,orange,blue,0,orange,0.24,NA,NA,3.795347213745117
SUBJ__20,19,F,1,urn,1,2,orange,blue,orange,blue,None,None,0,NA,NA,2.2451400756835938
SUBJ__20,19,F,1,urn,1,2,orange,NA,orange,blue,None,None,0,0,0,NA
SUBJ__20,19,F,1,urn,2,1,blue,blue,orange,blue,1,blue,0.34,NA,NA,2.9467599391937256
SUBJ__20,19,F,1,urn,2,1,blue,NA,orange,blue,1,blue,0.34,1,8.0,NA
SUBJ__20,19,F,1,urn,3,1,orange,orange,blue,orange,1,orange,0.24,NA,NA,2.495753049850464
SUBJ__20,19,F,1,urn,3,1,orange,NA,blue,orange,1,orange,0.24,1,6.0,NA
SUBJ__20,19,F,1,urn,4,1,blue,blue,blue,orange,0,blue,0.24,NA,NA,2.794872760772705
SUBJ__20,19,F,1,urn,4,2,blue,blue,blue,orange,0,blue,0.37,NA,NA,1.9972052574157715
SUBJ__20,19,F,1,urn,4,3,blue,blue,blue,orange,0,blue,1.0,NA,NA,2.431164264678955
SUBJ__20,19,F,1,urn,4,4,blue,blue,blue,orange,0,blue,1.0,NA,NA,2.363785982131958
SUBJ__20,19,F,1,urn,4,5,blue,blue,blue,orange,0,blue,1,NA,NA,2.246569871902466
SUBJ__20,19,F,1,urn,4,5,blue,NA,blue,orange,0,blue,1,1,10,NA
SUBJ__20,19,F,1,urn,5,1,orange,orange,orange,blue,0,orange,0.53,NA,NA,1.961771011352539
SUBJ__20,19,F,1,urn,5,2,orange,orange,orange,blue,0,orange,0.82,NA,NA,1.578645944595337
SUBJ__20,19,F,1,urn,5,2,orange,NA,orange,blue,0,orange,0.82,1,10.0,NA
SUBJ__20,19,F,1,urn,6,1,orange,orange,orange,blue,0,orange,0.24,NA,NA,3.7795960903167725
SUBJ__20,19,F,1,urn,6,2,orange,blue,orange,blue,0,orange,0.08,NA,NA,2.6457431316375732
SUBJ__20,19,F,1,urn,6,3,orange,blue,orange,blue,1,blue,0.27,NA,NA,2.1302478313446045
SUBJ__20,19,F,1,urn,6,4,orange,blue,orange,blue,1,blue,0.59,NA,NA,1.3640518188476562
SUBJ__20,19,F,1,urn,6,4,orange,NA,orange,blue,1,blue,0.59,0,-6.0,NA
SUBJ__20,19,F,1,urn,7,1,orange,orange,blue,orange,1,orange,0.44,NA,NA,1.5779380798339844
SUBJ__20,19,F,1,urn,7,2,orange,orange,blue,orange,1,orange,0.51,NA,NA,2.179044008255005
SUBJ__20,19,F,1,urn,7,2,orange,NA,blue,orange,1,orange,0.51,1,9.0,NA
SUBJ__20,19,F,1,urn,8,1,orange,orange,blue,orange,1,orange,0.23,NA,NA,1.4938387870788574
SUBJ__20,19,F,1,urn,8,2,orange,orange,blue,orange,1,orange,0.48,NA,NA,1.2964138984680176
SUBJ__20,19,F,1,urn,8,2,orange,NA,blue,orange,1,orange,0.48,1,9.0,NA
SUBJ__20,19,F,1,urn,9,1,blue,blue,blue,orange,0,blue,0.5,NA,NA,1.2946968078613281
SUBJ__20,19,F,1,urn,9,2,blue,orange,blue,orange,0,blue,0.37,NA,NA,1.9092597961425781
SUBJ__20,19,F,1,urn,9,3,blue,blue,blue,orange,0,blue,0.49,NA,NA,4.307485818862915
SUBJ__20,19,F,1,urn,9,3,blue,NA,blue,orange,0,blue,0.49,1,9.0,NA
SUBJ__20,19,F,1,urn,10,1,orange,orange,blue,orange,1,orange,0.33,NA,NA,1.5789968967437744
SUBJ__20,19,F,1,urn,10,2,orange,orange,blue,orange,1,orange,0.52,NA,NA,1.648165225982666
