SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__5,43,M,1,urn,1,1,blue,blue,orange,blue,0,orange,0.97,NA,NA,4.418507099151611
SUBJ__5,43,M,1,urn,1,2,blue,blue,orange,blue,1,blue,0.92,NA,NA,7.9150002002716064
SUBJ__5,43,M,1,urn,1,3,blue,blue,orange,blue,0,orange,0.93,NA,NA,5.601300001144409
SUBJ__5,43,M,1,urn,1,3,blue,NA,orange,blue,0,orange,0.93,0,-9.0,NA
SUBJ__5,43,M,1,urn,2,1,blue,blue,blue,orange,1,orange,0.95,NA,NA,3.619029998779297
SUBJ__5,43,M,1,urn,2,2,blue,orange,blue,orange,1,orange,0.97,NA,NA,5.5043299198150635
SUBJ__5,43,M,1,urn,2,3,blue,blue,blue,orange,1,orange,0.86,NA,NA,9.537096977233887
SUBJ__5,43,M,1,urn,2,4,blue,blue,blue,orange,0,blue,0.97,NA,NA,7.857753038406372
SUBJ__5,43,M,1,urn,2,4,blue,NA,blue,orange,0,blue,0.97,1,10.0,NA
SUBJ__5,43,M,1,urn,3,1,orange,orange,orange,blue,1,blue,0.91,NA,NA,3.1694469451904297
SUBJ__5,43,M,1,urn,3,1,orange,NA,orange,blue,1,blue,0.91,0,-9.0,NA
SUBJ__5,43,M,1,urn,4,1,orange,orange,orange,blue,1,blue,0.94,NA,NA,4.270020008087158
SUBJ__5,43,M,1,urn,4,2,orange,orange,orange,blue,1,blue,0.93,NA,NA,3.7026448249816895
SUBJ__5,43,M,1,urn,4,3,orange,orange,orange,blue,0,orange,0.9,NA,NA,8.236923933029175
SUBJ__5,43,M,1,urn,4,4,orange,orange,orange,blue,0,orange,0.96,NA,NA,4.033969879150391
SUBJ__5,43,M,1,urn,4,4,orange,NA,orange,blue,0,orange,0.96,1,10.0,NA
SUBJ__5,43,M,1,urn,5,1,orange,orange,orange,blue,1,blue,0.93,NA,NA,3.3025739192962646
SUBJ__5,43,M,1,urn,5,2,orange,orange,orange,blue,0,orange,0.95,NA,NA,6.02838397026062
SUBJ__5,43,M,1,urn,5,3,orange,orange,orange,blue,0,orange,0.95,NA,NA,5.889467239379883
SUBJ__5,43,M,1,urn,5,3,orange,NA,orange,blue,0,orange,0.95,1,10.0,NA
SUBJ__5,43,M,1,urn,6,1,blue,blue,blue,orange,1,orange,0.94,NA,NA,4.952548265457153
SUBJ__5,43,M,1,urn,6,1,blue,NA,blue,orange,1,orange,0.94,0,-9.0,NA
SUBJ__5,43,M,1,urn,7,1,blue,orange,orange,blue,0,orange,0.96,NA,NA,4.583575010299683
SUBJ__5,43,M,1,urn,7,2,blue,blue,orange,blue,1,blue,0.94,NA,NA,8.55499005317688
SUBJ__5,43,M,1,urn,7,3,blue,blue,orange,blue,1,blue,0.97,NA,NA,7.672370910644531
