SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__8,39,M,2,hazard,1,1,low,orange,high,low,None,None,0,NA,NA,7.19260311126709
SUBJ__8,39,M,2,hazard,1,1,low,NA,high,low,None,None,0,0,0,NA
SUBJ__8,39,M,2,hazard,2,1,low,blue,high,low,0,high,0.56,NA,NA,5.26500391960144
SUBJ__8,39,M,2,hazard,2,2,low,blue,high,low,0,high,0.79,NA,NA,4.131606101989746
SUBJ__8,39,M,2,hazard,2,3,low,blue,high,low,1,low,1,NA,NA,9.631023645401001
SUBJ__8,39,M,2,hazard,2,4,low,blue,high,low,1,low,1,NA,NA,2.0795860290527344
SUBJ__8,39,M,2,hazard,2,5,low,blue,high,low,1,low,1,NA,NA,1.8905189037322998
SUBJ__8,39,M,2,hazard,2,5,low,NA,high,low,1,low,1,1,10,NA
SUBJ__8,39,M,2,hazard,3,1,high,orange,low,high,None,None,0,NA,NA,2.647094964981079
SUBJ__8,39,M,2,hazard,3,2,high,orange,low,high,0,low,0.52,NA,NA,6.495689153671265
SUBJ__8,39,M,2,hazard,3,2,high,NA,low,high,0,low,0.52,0,-5.0,NA
SUBJ__8,39,M,2,hazard,4,1,low,orange,high,low,None,None,0,NA,NA,2.6788322925567627
SUBJ__8,39,M,2,hazard,4,2,low,blue,high,low,0,high,0.49,NA,NA,3.2992970943450928
SUBJ__8,39,M,2,hazard,4,3,low,blue,high,low,1,low,0.52,NA,NA,7.199413061141968
SUBJ__8,39,M,2,hazard,4,4,low,blue,high,low,1,low,1,NA,NA,2.3289830684661865
SUBJ__8,39,M,2,hazard,4,5,low,blue,high,low,1,low,1,NA,NA,2.495474338531494
SUBJ__8,39,M,2,hazard,4,5,low,NA,high,low,1,low,1,1,10,NA
SUBJ__8,39,M,2,hazard,5,1,high,blue,low,high,None,None,0,NA,NA,2.9211788177490234
SUBJ__8,39,M,2,hazard,5,2,high,orange,low,high,None,None,0,NA,NA,5.391204833984375
SUBJ__8,39,M,2,hazard,5,3,high,blue,low,high,1,high,0.52,NA,NA,5.361374139785767
SUBJ__8,39,M,2,hazard,5,4,high,orange,low,high,1,high,1,NA,NA,2.2321691513061523
SUBJ__8,39,M,2,hazard,5,5,high,orange,low,high,1,high,1,NA,NA,1.5290138721466064
SUBJ__8,39,M,2,hazard,5,5,high,NA,low,high,1,high,1,1,10,NA
SUBJ__8,39,M,2,hazard,6,1,high,blue,low,high,None,None,0,NA,NA,2.229167938232422
SUBJ__8,39,M,2,hazard,6,2,high,orange,low,high,None,None,0,NA,NA,3.1971940994262695
SUBJ__8,39,M,2,hazard,6,3,high,blue,low,high,1,high,0.54,NA,NA,4.132791042327881
SUBJ__8,39,M,2,hazard,6,4,high,orange,low,high,1,high,1,NA,NA,2.197617769241333
SUBJ__8,39,M,2,hazard,6,5,high,orange,low,high,1,high,1,NA,NA,1.625260829925537
SUBJ__8,39,M,2,hazard,6,5,high,NA,low,high,1,high,1,1,10,NA
SUBJ__8,39,M,2,hazard,7,1,high,orange,low,high,None,None,0,NA,NA,1.6456570625305176
SUBJ__8,39,M,2,hazard,7,2,high,blue,low,high,None,None,0,NA,NA,2.5311038494110107
SUBJ__8,39,M,2,hazard,7,3,high,orange,low,high,1,high,0.46,NA,NA,2.860227108001709
SUBJ__8,39,M,2,hazard,7,3,high,NA,low,high,1,high,0.46,1,9.0,NA
SUBJ__8,39,M,2,hazard,8,1,low,blue,low,high,None,None,0,NA,NA,1.896726131439209
SUBJ__8,39,M,2,hazard,8,2,low,blue,low,high,None,None,0,NA,NA,5.868606805801392
SUBJ__8,39,M,2,hazard,8,3,low,orange,low,high,0,low,0.52,NA,NA,5.5636820793151855
SUBJ__8,39,M,2,hazard,8,4,low,orange,low,high,1,high,1,NA,NA,3.430168867111206
SUBJ__8,39,M,2,hazard,8,5,low,orange,low,high,1,high,1,NA,NA,1.3150508403778076
SUBJ__8,39,M,2,hazard,8,5,low,NA,low,high,1,high,1,0,-10,NA
SUBJ__8,39,M,2,hazard,9,1,low,blue,low,high,None,None,0,NA,NA,2.312302827835083
SUBJ__8,39,M,2,hazard,9,1,low,NA,low,high,None,None,0,0,0,NA
SUBJ__8,39,M,2,hazard,10,1,high,blue,low,high,1,high,0.48,NA,NA,4.447175025939941
SUBJ__8,39,M,2,hazard,10,1,high,NA,low,high,1,high,0.48,1,9.0,NA
SUBJ__8,39,M,2,hazard,11,1,high,blue,low,high,0,low,0.49,NA,NA,5.9662909507751465
SUBJ__8,39,M,2,hazard,11,2,high,orange,low,high,None,None,0,NA,NA,3.799449920654297
SUBJ__8,39,M,2,hazard,11,3,high,blue,low,high,1,high,1,NA,NA,2.346256971359253
SUBJ__8,39,M,2,hazard,11,3,high,NA,low,high,1,high,1,1,10,NA
SUBJ__8,39,M,2,hazard,12,1,high,orange,high,low,None,None,0,NA,NA,1.761760950088501
SUBJ__8,39,M,2,hazard,12,2,high,blue,high,low,None,None,0,NA,NA,2.3304150104522705
SUBJ__8,39,M,2,hazard,12,2,high,NA,high,low,None,None,0,0,0,NA
SUBJ__8,39,M,2,hazard,13,1,high,orange,high,low,None,None,0,NA,NA,2.979944944381714
SUBJ__8,39,M,2,hazard,13,2,high,blue,high,low,0,high,0.55,NA,NA,2.781485080718994
SUBJ__8,39,M,2,hazard,13,2,high,NA,high,low,0,high,0.55,1,9.0,NA
SUBJ__8,39,M,2,hazard,14,1,high,orange,high,low,None,None,0,NA,NA,2.3463540077209473
SUBJ__8,39,M,2,hazard,14,2,high,blue,high,low,0,high,0.52,NA,NA,5.0155110359191895
SUBJ__8,39,M,2,hazard,14,3,high,orange,high,low,0,high,1,NA,NA,2.5322320461273193
SUBJ__8,39,M,2,hazard,14,4,high,blue,high,low,0,high,1,NA,NA,2.3979647159576416
SUBJ__8,39,M,2,hazard,14,4,high,NA,high,low,0,high,1,1,10,NA
SUBJ__8,39,M,2,hazard,15,1,high,orange,low,high,None,None,0,NA,NA,1.9105467796325684
SUBJ__8,39,M,2,hazard,15,2,high,orange,low,high,0,low,0.52,NA,NA,4.029818058013916
SUBJ__8,39,M,2,hazard,15,3,high,orange,low,high,0,low,1,NA,NA,1.829399824142456
SUBJ__8,39,M,2,hazard,15,3,high,NA,low,high,0,low,1,0,-10,NA
SUBJ__8,39,M,2,hazard,16,1,low,blue,low,high,None,None,0,NA,NA,1.5467979907989502
SUBJ__8,39,M,2,hazard,16,2,low,blue,low,high,0,low,0.49,NA,NA,4.383655071258545
SUBJ__8,39,M,2,hazard,16,2,low,NA,low,high,0,low,0.49,1,9.0,NA
SUBJ__8,39,M,2,hazard,17,1,high,blue,high,low,None,None,0,NA,NA,1.4283640384674072
SUBJ__8,39,M,2,hazard,17,2,high,orange,high,low,0,high,0.48,NA,NA,2.816082239151001
SUBJ__8,39,M,2,hazard,17,2,high,NA,high,low,0,high,0.48,1,9.0,NA
SUBJ__8,39,M,2,hazard,18,1,low,orange,low,high,None,None,0,NA,NA,1.3291471004486084
SUBJ__8,39,M,2,hazard,18,2,low,blue,low,high,1,high,0.54,NA,NA,2.832016944885254
SUBJ__8,39,M,2,hazard,18,3,low,orange,low,high,1,high,1,NA,NA,2.464754104614258
SUBJ__8,39,M,2,hazard,18,4,low,orange,low,high,0,low,1,NA,NA,2.5321929454803467
SUBJ__8,39,M,2,hazard,18,4,low,NA,low,high,0,low,1,1,10,NA
SUBJ__8,39,M,2,hazard,19,1,high,orange,low,high,None,None,0,NA,NA,2.063215970993042
SUBJ__8,39,M,2,hazard,19,1,high,NA,low,high,None,None,0,0,0,NA
SUBJ__8,39,M,2,hazard,20,1,high,blue,low,high,None,None,0,NA,NA,1.2900869846343994
SUBJ__8,39,M,2,hazard,20,2,high,blue,low,high,0,low,0.49,NA,NA,3.822417974472046
SUBJ__8,39,M,2,hazard,20,3,high,orange,low,high,None,None,0,NA,NA,6.325946807861328
SUBJ__8,39,M,2,hazard,20,4,high,blue,low,high,0,low,1,NA,NA,1.6910812854766846
SUBJ__8,39,M,2,hazard,20,4,high,NA,low,high,0,low,1,0,-10,NA
SUBJ__8,39,M,2,hazard,21,1,high,orange,high,low,None,None,0,NA,NA,1.5799291133880615
SUBJ__8,39,M,2,hazard,21,2,high,blue,high,low,1,low,0.53,NA,NA,3.764993906021118
SUBJ__8,39,M,2,hazard,21,3,high,orange,high,low,1,low,0.53,NA,NA,2.1985490322113037
SUBJ__8,39,M,2,hazard,21,3,high,NA,high,low,1,low,0.53,0,-5.0,NA
SUBJ__8,39,M,2,hazard,22,1,low,blue,low,high,None,None,0,NA,NA,1.4292490482330322
SUBJ__8,39,M,2,hazard,22,2,low,blue,low,high,0,low,0.49,NA,NA,3.8976190090179443
SUBJ__8,39,M,2,hazard,22,3,low,orange,low,high,0,low,1,NA,NA,2.2830729484558105
SUBJ__8,39,M,2,hazard,22,4,low,orange,low,high,1,high,1,NA,NA,2.2792599201202393
SUBJ__8,39,M,2,hazard,22,5,low,blue,low,high,0,low,1,NA,NA,7.770942211151123
SUBJ__8,39,M,2,hazard,22,5,low,NA,low,high,0,low,1,1,10,NA
SUBJ__8,39,M,2,hazard,23,1,low,blue,high,low,None,None,0,NA,NA,1.3546528816223145
SUBJ__8,39,M,2,hazard,23,2,low,orange,high,low,1,low,0.49,NA,NA,6.157244920730591
SUBJ__8,39,M,2,hazard,23,3,low,orange,high,low,1,low,1,NA,NA,3.2644870281219482
SUBJ__8,39,M,2,hazard,23,4,low,blue,high,low,0,high,1,NA,NA,4.599049091339111
SUBJ__8,39,M,2,hazard,23,5,low,blue,high,low,0,high,1,NA,NA,6.365797996520996
SUBJ__8,39,M,2,hazard,23,5,low,NA,high,low,0,high,1,0,-10,NA
SUBJ__8,39,M,2,hazard,24,1,high,orange,high,low,None,None,0,NA,NA,1.8629610538482666
SUBJ__8,39,M,2,hazard,24,2,high,blue,high,low,1,low,0.51,NA,NA,4.322994947433472
SUBJ__8,39,M,2,hazard,24,3,high,orange,high,low,0,high,0.5,NA,NA,2.5309271812438965
SUBJ__8,39,M,2,hazard,24,4,high,blue,high,low,0,high,1,NA,NA,2.5007247924804688
SUBJ__8,39,M,2,hazard,24,5,high,orange,high,low,0,high,1,NA,NA,2.526338815689087
SUBJ__8,39,M,2,hazard,24,5,high,NA,high,low,0,high,1,1,10,NA
SUBJ__8,39,M,2,hazard,25,1,high,blue,high,low,None,None,0,NA,NA,1.891906976699829
SUBJ__8,39,M,2,hazard,25,2,high,orange,high,low,1,low,0.51,NA,NA,4.800572872161865
SUBJ__8,39,M,2,hazard,25,3,high,orange,high,low,None,None,0,NA,NA,5.465514898300171
SUBJ__8,39,M,2,hazard,25,4,high,blue,high,low,0,high,1.0,NA,NA,4.530783176422119
SUBJ__8,39,M,2,hazard,25,4,high,NA,high,low,0,high,1.0,1,10,NA
